Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software,_source_file,_source_index
Junior Product Manager,Product Manager,Tuotempo,Spain,Catalonia,Barcelona,Full-time,0-3,Junior,Product Development; Product Lifecycle Management; Requirements Gathering; Stakeholder Management,Bachelor's Degree,,20250820_162157_DataPM_result_batch_1.csv,0
Product Associate,Product Manager,Zenown,Spain,Unknown,Unknown,Unknown,0-3,Unknown,Product Development; Requirements Gathering; Market Research; Product Analytics; Product Ops support tasks; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking,,,20250820_162157_DataPM_result_batch_1.csv,1
Product Manager,Product Manager,Wikifarmer,Spain,Unknown,Unknown,Full-time,3-5,Mid,Product Development; Product Roadmapping; Feature Prioritization; Market Research; Competitive Analysis; Product Analytics; A/B Testing; Experiment Design; Experiment Analysis; Stakeholder Management; Cross-functional Collaboration; KPI Definition; Product-led Growth (PLG); Product Strategy; Communication; Analytical Thinking; Experimentation,,Google Analytics; GA4; Tableau; Power BI,20250820_162157_DataPM_result_batch_1.csv,2
"Manager, Product Manager",Product Manager,Canonical,EMEA,Unknown,Unknown,Full-time,5+,Manager,Product Development; Product Lifecycle Management; Market Research; Stakeholder Management; Cross-functional Collaboration; Executive Communication; Agile; Product Strategy; Roadmap Prioritization; Communication; Problem Solving; Leadership; Mentoring; Analytical Thinking; Business Acumen; Technical Writing; Project Management; Presentation Skills; Data Analysis; Regulatory Compliance; Customer Segmentation; Experiment Analysis; Hypothesis Testing,Higher Education,Docker; Kubernetes; Git; GitHub; GitLab; Azure; AWS; GCP; Slack; Microsoft Teams; Zoom; Google Meet; Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace; Confluence; Jira; Notion; Trello; Asana; ClickUp; Monday.com; Wrike,20250820_162157_DataPM_result_batch_1.csv,3
Product Manager - OpenData,Product Manager,Veeva Systems,Spain,Unknown,Unknown,Full-time,5+,Manager,Stakeholder Management; Cross-functional Collaboration; Data Modeling; Data Analysis; Requirements Gathering; Product Development; Healthcare Knowledge,Bachelor's Degree,SQL; Tableau; Power BI; Looker; Mode; Metabase; Redash; Apache Superset; Excel,20250820_162157_DataPM_result_batch_1.csv,4
Product Manager (100% Remote),Product Manager,Robert Walters,Spain,Comunitat Valenciana,Valencia,Unknown,5+,Manager,Product Development; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Executive Communication; OKRs; KPI Definition; Metrics Design; Performance Measurement; Roadmap Communication; Agile; Communication; Analytical Thinking; Business Acumen; Strategic Thinking; Problem Solving,,Google Analytics; Looker; Mixpanel; Figma,20250820_162157_DataPM_result_batch_1.csv,5
Product Manager,Product Manager,Triple,Spain,Unknown,Unknown,Unknown,3-5,Unknown,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; Requirements Gathering; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; API,,,20250820_162157_DataPM_result_batch_1.csv,6
Global Product Manager - Crop Protection / Insecticides,Product Manager,ADAMA,European Union,Unknown,Unknown,Full-time,5+,Manager,Product Strategy; Product Development; Product Roadmapping; Stakeholder Management; Market Research; Competitive Analysis; Product Lifecycle Management; Strategic Thinking,Bachelor's Degree; Master's Degree,,20250820_162157_DataPM_result_batch_1.csv,7
Product Manager,Product Manager,Incode,Spain,Unknown,Unknown,Full-time,5+,Manager,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Product-led Growth (PLG); Experimentation; Analytical Thinking; Business Acumen; Strategic Thinking; Executive Communication,,,20250820_162157_DataPM_result_batch_1.csv,8
Growth Product Manager (Web),Product Manager,Reverse Tech,Spain,Catalonia,Barcelona,Full-time,5+,Mid,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Growth Hacking; Product-led Growth (PLG); A/B Testing; Experiment Design; Experiment Analysis; Conversion Rate Optimization (CRO); Funnel Analysis; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking,,Google Analytics; Amplitude; Hotjar; Tableau; Power BI; Looker; Google Optimize; Optimizely; VWO,20250820_162157_DataPM_result_batch_1.csv,9
Product Manager,Product Manager,Seedtag,Spain,Comunidad de Madrid,Madrid,Full-time,5+,Manager,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking; Business Acumen; Strategic Thinking,Engineering; Other,,20250820_162157_DataPM_result_batch_2.csv,0
"Product Manager, Consumer Trading",Product Manager,Kraken,European Economic Area,Unknown,Unknown,Full-time,3-5,Mid,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Data Analysis; Data Visualization; Product-led Growth (PLG); Growth Hacking; Pricing Strategy; Churn Reduction; Communication; Stakeholder Management; Experimentation; Funnel Analysis,,SQL,20250820_162157_DataPM_result_batch_2.csv,1
Credit Product Manager (SME Business Lending),Product Manager,Revolut,Spain,Unknown,Unknown,Full-time,5+,Lead,Product Development; Product Launch; Product Strategy; Market Research; Competitive Analysis; User Research; UI/UX Design; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Requirements Gathering; Data-driven decision making; Risk Management; Business Acumen; Analytical Thinking; Problem Solving; Communication; Negotiation,,,20250820_162157_DataPM_result_batch_2.csv,2
"Technical Product Manager - Producto API - scrum, agile - remoto (*A)",Product Manager,BETWEEN TECHNOLOGY,Spain,Community of Madrid,Madrid,Full-time,5+,Unknown,Stakeholder Management; Cross-functional Collaboration; Communication; Agile; Scrum; Product Development; Product Roadmapping; Feature Prioritization; Product Analytics; Product Strategy; OKRs; API,,Swagger; OpenAPI,20250820_162157_DataPM_result_batch_2.csv,3
Product Manager (relocation to Abu Dhabi,Product Manager,Presight,European Union,Unknown,Unknown,Unknown,5+,Manager,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Communication; Analytical Thinking,Bachelor's Degree; Engineering,Figma,20250820_162157_DataPM_result_batch_2.csv,4
Product Manager Identity Verification & Fraud,Product Manager,Microblink,European Union,Unknown,Unknown,Full-time,3-5,Manager,Product Strategy; Product Development; Product Roadmapping; Market Research; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Agile; Communication; Problem Solving; Strategic Thinking; Analytical Thinking; Data Analysis; KPI Definition; Metrics Design; Data-driven decision making,Bachelor's Degree; Engineering; Business,,20250820_162157_DataPM_result_batch_2.csv,5
Product Manager,Product Manager,Unknown,European Union,Unknown,Unknown,Full-time,5+,Manager,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; Market Research; Competitive Analysis; Product Lifecycle Management; Stakeholder Management; Cross-functional Collaboration; Communication; Presentation Skills; Analytical Thinking; Business Acumen; Product Analytics,Bachelor's Degree; Master's Degree,,20250820_162157_DataPM_result_batch_2.csv,6
Principal Product Manager,Product Manager,Welltech,Spain,Catalonia,Barcelona,Full-time,3-5,Unknown,Product Strategy; Product Roadmapping; Market Research; Competitive Analysis; Product Development; Product Launch; Agile; Scrum; A/B Testing; Data Analysis; User Research; Stakeholder Management; Cross-functional Collaboration; Communication; Product Lifecycle Management; User Stories,,,20250820_162157_DataPM_result_batch_2.csv,7
"Staff Product Manager (remote, UTC-3 to UTC+3)",Product Manager,Checkly,Spain,Community of Madrid,Madrid,Full-time,5+,Senior,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Growth Hacking; Stakeholder Management; Cross-functional Collaboration; Executive Communication; Product Lifecycle Management; Agile; OKRs; KPI Definition,,Slack; Microsoft Teams; Zoom; Google Meet; Miro; Mural; Whimsical; Lucidchart; Jamboard; FigJam; MS Whiteboard; Jira; Confluence; Notion; Trello; Asana; ClickUp; Monday.com; Wrike; Figma,20250820_162157_DataPM_result_batch_2.csv,8
Sales Account & Product Manager Iberia – Compounding / Plastic Materials,Product Manager,IMCD,Spain,Unknown,Unknown,Unknown,5+,Manager,Stakeholder Management; Cross-functional Collaboration,Engineering,Salesforce,20250820_162157_DataPM_result_batch_2.csv,9
Product Designer,Product Designer,Mercadona Tech,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,User Research; User-Centered Design; Design Thinking; Wireframing; Prototyping; UI/UX Design; Agile; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving,,Figma; Sketch; Framer,20250821_013418_DataPM_result_batch_1.csv,0
Ingeniero/a Industrial (consultoría operacional),Consultant,Laberit,Spain,Valencian Community,Valencia,Unknown,0-3,Unknown,Process Optimization,Engineering,,20250821_013418_DataPM_result_batch_1.csv,1
¿Quieres trabajar con nosotros?,Unknown,Octopus Energy,Spain,Valencia,Valencia,Full-time,Unknown,Unknown,,,,20250821_013418_DataPM_result_batch_1.csv,2
Junior/Beca en Deloitte Legal - Valencia,Consultant,Deloitte,Spain,Valencian Community,Valencia,Unknown,0-3,Unknown,Communication; Problem Solving; Analytical Thinking; Stakeholder Management,Bachelor's Degree; Master's Degree,,20250821_013418_DataPM_result_batch_1.csv,3
Data Analyst (Mobile Games),Data Analyst,Unknown,European Union,Unknown,Unknown,Contract,3-5,Mid,Data Analysis; Data Visualization; Reporting & Dashboards; KPI Dashboards; Funnel Analysis; Attribution Modeling; Business Intelligence; Google Analytics (UA); A/B Testing,,Excel; Google Analytics,20250821_013418_DataPM_result_batch_1.csv,4
Becario de operaciones,Operations Manager,Unknown,Spain,Valencian Community,Valencia,Full-time,0-3,Intern,Stakeholder Management; Cross-functional Collaboration; Communication; Organization; Process Optimization,Engineering; Higher Education,Excel,20250821_013418_DataPM_result_batch_1.csv,5
Técnico/a de planificación de la demanda,Data Analyst,Norauto,Spain,Valencia,Valencia,Full-time,0-3,Unknown,Data Analysis; Communication; Problem Solving; Organization; Logistics; Stakeholder Management; Supply Chain Management,Bachelor's Degree; Master's Degree; Engineering,Excel,20250821_013418_DataPM_result_batch_1.csv,6
Business Analyst (Pricing & Operations),Business Analyst,IVC Evidensia,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Data Analysis; Stakeholder Management; Communication; Organization; Project Management; KPI Definition; Business Acumen; Reporting & Dashboards,,Excel; Power BI; SQL,20250821_013418_DataPM_result_batch_1.csv,7
Player Care - QA Analyst - Monopoly GO!,QA / Test Engineer,Scopely,Spain,Andalucía,Sevilla,Unknown,0-3,Unknown,Communication; Quality Assurance; Stakeholder Management,,Jira; Excel,20250821_013418_DataPM_result_batch_1.csv,8
"Responsable de Planificación, Seguimiento de Negocio y Operaciones Territorial_DT Levante",Business Analyst,AXA,Spain,Valencian Community,Valencia,Unknown,5+,Unknown,Stakeholder Management; Cross-functional Collaboration,Bachelor's Degree; Engineering,,20250821_013418_DataPM_result_batch_1.csv,9
Supply Chain Sales Specialist,Consultant,Imperia,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Sales enablement understanding; Account Management basics; Communication; Stakeholder Management; Negotiation,,Slack; Microsoft Teams; Zoom; Google Meet,20250821_013418_DataPM_result_batch_2.csv,0
Governance Risk & Compliance Analyst,Compliance / Regulatory Specialist,XTEL,European Union,Unknown,Unknown,Full-time,3-5,Mid,Risk Management; Regulatory Compliance; Security; Stakeholder Management,,Azure; Microsoft Office; Microsoft Teams,20250821_013418_DataPM_result_batch_2.csv,1
Business Analyst,Business Analyst,Sollers,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Business Acumen; Problem Solving; Analytical Thinking; Agile; Stakeholder Management,Bachelor's Degree,,20250821_013418_DataPM_result_batch_2.csv,2
Murex Business Analyst 100% Remoto,Business Analyst,Unknown,Spain,Unknown,Unknown,Unknown,5+,Unknown,Financial Analysis; Problem Solving,,SQL,20250821_013418_DataPM_result_batch_2.csv,3
Product Data Analyst – User dashboards B2B2C,Data Analyst,Fourvenues,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,"Data Analysis; Data Visualization; UX metrics (task success, time on task); Requirements Gathering; Stakeholder Management; KPI Definition; Data-driven decision making; Business Intelligence; Data Warehousing concepts; Funnel & Retention Dashboards; API; Business Acumen; Analytical Thinking; Communication; Regulatory Compliance; Quality Assurance",,Tableau; Looker; SQL; JavaScript; TypeScript; Power BI,20250821_013418_DataPM_result_batch_2.csv,4
Analista de Negocio - Precios & Operaciones,Business Analyst,IVC Evidensia,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Stakeholder Management; KPI Definition; Cross-functional Collaboration; Data Analysis; Communication; Organization; Problem Solving,,Excel; Power BI; SQL,20250821_013418_DataPM_result_batch_2.csv,5
E-Commerce Manager,Digital Marketing Specialist,Puchol Logistics,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,SEO; SEM; Marketing Analytics; Communication; Problem Solving; Analytical Thinking,,Excel,20250821_013418_DataPM_result_batch_2.csv,6
Analytics Business Consultant (m/f/d),Business Analyst,BSH Electrodomésticos,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Agile; Scrum; Kanban; Stakeholder Management; Business Intelligence; Security,Engineering; Other,Power BI; Jira,20250821_013418_DataPM_result_batch_2.csv,7
Claims Data Analyst/Business Analyst. Healthcare,Data Analyst,Trinetix,United States,Tennessee,Nashville,Unknown,5+,Unknown,Data Analysis; Business Intelligence; Data Warehousing concepts; Requirements Gathering; Stakeholder Management; Communication; Problem Solving; Business Acumen; Healthcare Knowledge,Bachelor's Degree,Power BI; Tableau; Looker; SQL,20250821_013418_DataPM_result_batch_2.csv,8
Sales Representative Specialist - Valencia,Sales Representative,Leica Geosystems,Spain,Valencia,Valencia,Full-time,5+,Unknown,Sales enablement understanding; Account Management basics; Stakeholder Management; Negotiation; Communication,Engineering; Higher Education,Salesforce,20250821_013418_DataPM_result_batch_2.csv,9
IT Business Analyst,Business Analyst,ERNI,Spain,Valencian Community,Valencia,Unknown,5+,Senior,Data Analysis; Requirements Gathering; Stakeholder Management; Cross-functional Collaboration; Communication; Analytical Thinking; Agile; SDLC; Quality Assurance,,Jira; Confluence,20250821_013418_DataPM_result_batch_3.csv,0
IT Business Analyst con Francés,Business Analyst,Sopra Steria,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Requirement Gathering (detailed); Stakeholder Management; Cross-functional Collaboration,,,20250821_013418_DataPM_result_batch_3.csv,1
Técnico/a de redes,Network Engineer,Prosodie,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Communication; Security; Regulatory Compliance,Higher Education; Engineering,,20250821_013418_DataPM_result_batch_3.csv,2
Salesforce Marketing Cloud,Software Engineer,Xplore Group,Spain,Valencian Community,Valencia,Full-time,0-3,Junior,Agile; Scrum; Kanban; A/B Testing; Data Modeling; API,,JavaScript; AWS; Azure; Git; GitHub; Jira; Confluence; SQL,20250821_013418_DataPM_result_batch_3.csv,3
Backend AI Engineer,ML Engineer,Shakers,Spain,Valencian Community,Madrid,Unknown,3-5,Unknown,Backend Development; Version Control; API; Performance Optimization; Cross-functional Collaboration; CI/CD; DevOps,,Python; Docker; AWS; Azure; GCP; OpenAI API; Anthropic API; LangChain; LlamaIndex,20250821_013418_DataPM_result_batch_3.csv,4
Especialista en Customer Care,Consultant,Octopus Energy,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Communication; Problem Solving; Customer Success alignment,Higher Education; Vocational Training,Excel,20250821_013418_DataPM_result_batch_3.csv,5
Gestor/a Energético/a (Valencia),Customer Success,Octopus Energy Spain,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Communication; Customer Success alignment; Sales enablement understanding; Account Management basics; Support escalation processes,,,20250821_013418_DataPM_result_batch_3.csv,6
Product Analyst – Optimización de flujos de compra y configuración,Product Analyst,Fourvenues,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Data Analysis; Data Visualization; A/B Testing; Funnel Analysis; Cohort Analysis; Experiment Design; Stakeholder Management; Communication; Business Acumen; Analytical Thinking; Problem Solving,,SQL; Tableau; Power BI; GA4; Mixpanel; Amplitude; Looker,20250821_013418_DataPM_result_batch_3.csv,7
Social Media & Content Growth Specialist,Consultant,Imperia,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Content Marketing; Social Media Marketing; Growth Strategy; Communication; Stakeholder Management,,,20250821_013418_DataPM_result_batch_3.csv,8
Business Operations,Project Manager,Imperia,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Project Management; Process Optimization; Stakeholder Management; Communication,Engineering; Computer Science,SQL; SQL Server; Oracle,20250821_013418_DataPM_result_batch_3.csv,9
Business Analyst/Product Owner. Healthcare. Clinical data,Business Analyst,Trinetix,United States,Tennessee,Nashville,Unknown,5+,Senior,Stakeholder Management; Cross-functional Collaboration; Product Strategy; Product Development; Requirements Gathering; Agile; Scrum; Product Roadmapping; Product Lifecycle Management; Data Analysis; Data Visualization; Business Intelligence; Product Analytics; A/B Testing; User Research; User Stories; KPI Definition; Communication; Problem Solving; Regulatory Compliance,Bachelor's Degree; Master's Degree,AWS; Azure; GCP; Snowflake; Databricks; Power BI; Looker; Tableau; Excel; Jira; Confluence; SQL,20250821_013418_DataPM_result_batch_4.csv,0
Digital Data Analyst,Data Analyst,Fourvenues,Spain,Valencian Community,Valencia,Unknown,3-5,Unknown,Data Analysis; Data Visualization; Business Intelligence; Stakeholder Management; Communication; Problem Solving; Analytical Thinking; Funnel Analysis; KPI Definition; Metrics Design; Reporting & Dashboards; KPI Dashboards; Data-driven decision making; Experiment Design; Hypothesis Testing; Data Warehousing concepts,,SQL; Google Analytics; GA4; Tableau; Looker; Google Workspace; Excel; Python; MongoDB; Google Tag Manager,20250821_013418_DataPM_result_batch_4.csv,1
Product Owner,Product Owner,Mercadona,Spain,Valencian Community,Albalat dels Sorells,Full-time,3-5,Unknown,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Executive Communication; Product Lifecycle Management; Agile; Scrum,Engineering,Jira; Confluence,20250821_163730_DataPM_result_batch_1.csv,0
Product Owner,Product Owner,BrainRocket,Spain,Valencian Community,Valencia,Unknown,3-5,Unknown,Product Development; Stakeholder Management; Cross-functional Collaboration; Communication; Analytical Thinking; Problem Solving; Organization; Leadership; Conflict Resolution; Agile; Scrum; OKRs; Requirements Gathering,,Jira; Confluence,20250821_163730_DataPM_result_batch_1.csv,1
